Program,Site_ID,Site_Synonyms,Lat,Long,Max_sample_depth_m
GOMECC-3,22,N/A,27.583,-90,1260
GOMECC-3,23,N/A,27.75,-89.999,850
GOMECC-3,24,N/A,27.915,-89.999,670
GOMECC-3,25,N/A,28.083,-90,426
GOMECC-3,26,N/A,28.242,-90.001,171
GOMECC-3,27,N/A,28.501,-89.999,99
GOMECC-3,28,N/A,28.746,-89.997,48
GOMECC-3,29,N/A,28.936,-90.122,25
GOMECC-3,30,N/A,28.971,-90.207,18
GOMECC-3,31,N/A,28.866,-90.472,20
GOMECC-3,32,N/A,28.831,-90.806,16
GOMECC-3,33,N/A,27.92,-93.565,60
GOMECC-3,34,N/A,27.87,-93.83,95
GOMECC-3,35,N/A,27.691,-94.205,284
GOMECC-3,36,N/A,27.511,-94.599,918
GOMECC-3,37,N/A,27.333,-94.994,1110
GOMECC-3,38,N/A,27.499,-95,880
GOMECC-3,39,N/A,27.649,-94.999,636
GOMECC-3,40,N/A,27.833,-94.999,227
GOMECC-3,41,N/A,28.083,-94.999,65
GOMECC-3,42,N/A,28.332,-95,43
GOMECC-3,43,N/A,28.667,-95.001,30
GOMECC-3,44,N/A,28.999,-95.001,23
GOMECC-3,45,N/A,27.333,-96.772,60
GOMECC-3,46,N/A,25.88,-97.034,25
GOMECC-3,47,N/A,25.88,-96.818,45
GOMECC-3,48,N/A,25.88,-96.582,68
GOMECC-3,49,N/A,25.881,-96.329,217
GOMECC-3,50,N/A,25.882,-96.082,800
GOMECC-3,51,N/A,25.88,-95.846,900
GOMECC-3,52,N/A,25.88,-95.561,1840
GOMECC-3,53,N/A,25.88,-95.12,2437
GOMECC-3,54,N/A,25.88,-94.674,3185
GOMECC-3,55,N/A,22.274,-97.73,26
GOMECC-3,56,N/A,22.271,-97.65,41
GOMECC-3,57,N/A,22.272,-97.549,54
GOMECC-3,58,N/A,22.271,-97.467,75
GOMECC-3,59,N/A,22.271,-97.364,250
GOMECC-3,60,N/A,22.27,-96.778,2030
GOMECC-3,61,N/A,22.27,-96.199,2570
GOMECC-3,62,N/A,22.27,-95.602,2998
GOMECC-3,63,N/A,22.27,-95.008,3416
GOMECC-3,64,N/A,25.003,-88,3435
GOMECC-3,65,N/A,24.386,-87.999,545
GOMECC-3,66,N/A,23.771,-88,136
GOMECC-3,67,N/A,23.156,-88.001,81
GOMECC-3,68,N/A,22.54,-88.001,54
GOMECC-3,69,N/A,21.927,-88.001,23
GOMECC-3,70,N/A,21.165,-90.756,22
GOMECC-3,71,N/A,21.45,-91.567,45
GOMECC-3,72,N/A,21.736,-92.312,111
GOMECC-3,73,N/A,21.999,-92.905,3261
GOMECC-3,74,N/A,20.729,-94.732,3200
GOMECC-3,75,N/A,20.6,-94.291,1877
GOMECC-3,76,N/A,20.021,-93.776,1466
GOMECC-3,77,N/A,19.61,-93.509,1000
GOMECC-3,78,N/A,19.171,-93.299,725
GOMECC-3,79,N/A,18.834,-93.067,58
GOMECC-3,80,N/A,21.548,-86.751,22
GOMECC-3,81,N/A,21.59,-86.499,63
GOMECC-3,82,N/A,21.629,-86.251,1100
GOMECC-3,83,N/A,21.671,-86.007,1879
GOMECC-3,84,N/A,21.721,-85.722,2041
GOMECC-3,85,N/A,21.76,-85.474,1730
GOMECC-3,86,N/A,21.8,-85.206,1818
GOMECC-3,87,N/A,21.833,-84.978,588
GOMECC-3,88,N/A,23.262,-80.62,490
GOMECC-3,89,N/A,23.512,-80.62,1080
GOMECC-3,90,N/A,23.788,-80.614,1116
GOMECC-3,91,N/A,24.048,-80.619,1075
GOMECC-3,92,N/A,24.316,-80.618,671
GOMECC-3,93,N/A,24.58,-80.616,208
GOMECC-3,94,N/A,24.741,-80.619,140
GOMECC-3,95,N/A,25.5,-80.081,67
GOMECC-3,96,N/A,25.993,-80.004,32
GOMECC-3,97,N/A,27,-79.987,61
GOMECC-3,98,N/A,26.987,-79.931,152
GOMECC-3,99,N/A,26.987,-79.861,280
GOMECC-3,100,N/A,26.984,-79.781,398
GOMECC-3,101,N/A,26.982,-79.688,558
GOMECC-3,102,N/A,26.969,-79.617,680
GOMECC-3,103,N/A,26.974,-79.499,778
GOMECC-3,104,N/A,26.989,-79.376,701
GOMECC-3,105,N/A,26.992,-79.281,623
GOMECC-3,106,N/A,26.991,-79.202,501
GOMECC-3,107,N/A,27,-79.176,410
Iconic Reefs,Eastern Dry Rocks,N/A,24.462,-81.843,N/A
Iconic Reefs,Looe Key,N/A,24.548,-81.406,N/A
Iconic Reefs,Newfound Harbor,N/A,24.65,-81.398,N/A
Iconic Reefs,Sombrero Key,N/A,24.626,-81.111,N/A
Iconic Reefs,Cheeca Rocks,N/A,24.904,-80.617,N/A
Iconic Reefs,Horseshoe Reef,N/A,25.139,-80.289,N/A
Iconic Reefs,Carysfort Reef,N/A,25.221,-80.211,N/A
AOAT,Cheeca Rocks,N/A,24.9,-80.62,1
