"scientificName"
"Grapsus grapsus"
"Ulva"
"Ceratodictyon"
"Zoanthus sansibaricus"
"Lithophyllum"
"Calcinus explorator"
"Palaemonidae"
"Plicopurpura columellaris"
"Ozius verreauxii"
"Tetraclita squamosa milleporosa"
"Codium"
"Anthopleura nigrescens"
"Radsia sulcatus"
